epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,166.694,0.48564,0.38367,0.90529,0.95505,0.92094,0.95149,0.89274,0.38406,0.40918,0.83948,0.000215774,0.000215774,0.000215774
43,170.212,0.44645,0.33481,0.88195,0.93199,0.93459,0.95076,0.89001,0.38682,0.40987,0.8366,0.000204769,0.000204769,0.000204769
44,173.54,0.47364,0.37683,0.87953,0.93629,0.93507,0.94912,0.88746,0.37708,0.41265,0.83686,0.000193763,0.000193763,0.000193763
45,176.851,0.45407,0.35148,0.87366,0.93141,0.93372,0.95013,0.88886,0.38838,0.41614,0.839,0.000182758,0.000182758,0.000182758
46,180.914,0.44664,0.37587,0.89053,0.93198,0.92744,0.94734,0.88718,0.38761,0.41375,0.83645,0.000171752,0.000171752,0.000171752
47,184.411,0.45274,0.36741,0.88389,0.95335,0.92554,0.94858,0.89199,0.39155,0.38952,0.83568,0.000160747,0.000160747,0.000160747
48,187.755,0.46067,0.33917,0.87609,0.94761,0.91924,0.9529,0.89978,0.38879,0.39023,0.83284,0.000149741,0.000149741,0.000149741
49,190.905,0.41189,0.63983,0.79729,0.93402,0.91435,0.95276,0.90491,0.38751,0.39495,0.83135,0.000138736,0.000138736,0.000138736
50,195.078,0.4479,0.33336,0.87483,0.93656,0.90807,0.95329,0.90135,0.38845,0.38911,0.83241,0.000127731,0.000127731,0.000127731
51,200.104,0.36278,0.28242,0.81479,0.9525,0.8978,0.9531,0.89574,0.39265,0.38608,0.83626,0.000116725,0.000116725,0.000116725
52,203.874,0.39224,0.37995,0.82738,0.94226,0.90786,0.95344,0.89716,0.38988,0.40393,0.83435,0.00010572,0.00010572,0.00010572
53,207.84,0.3628,0.27054,0.82103,0.93285,0.91954,0.95341,0.89678,0.37749,0.40367,0.82712,9.4714e-05,9.4714e-05,9.4714e-05
54,211.128,0.43388,0.3183,0.89415,0.93374,0.92533,0.95285,0.89036,0.38213,0.38568,0.82823,8.37085e-05,8.37085e-05,8.37085e-05
55,214.437,0.38364,0.27605,0.81822,0.93869,0.92104,0.95349,0.89075,0.38997,0.38733,0.83329,7.2703e-05,7.2703e-05,7.2703e-05
56,217.806,0.34573,0.25524,0.82439,0.93937,0.93017,0.9537,0.90422,0.3852,0.36985,0.8323,6.16975e-05,6.16975e-05,6.16975e-05
57,221.599,0.35883,0.27162,0.81066,0.94007,0.9299,0.9537,0.90733,0.3757,0.36838,0.82871,5.0692e-05,5.0692e-05,5.0692e-05
58,224.974,0.37025,0.25639,0.80185,0.93936,0.92986,0.95236,0.90167,0.37411,0.36581,0.82756,3.96865e-05,3.96865e-05,3.96865e-05
59,228.131,0.33979,0.249,0.81286,0.94048,0.93029,0.94897,0.89716,0.37486,0.36492,0.82726,2.8681e-05,2.8681e-05,2.8681e-05
60,231.734,0.32252,0.23827,0.80591,0.94454,0.92264,0.94936,0.90113,0.37818,0.36553,0.8283,1.76755e-05,1.76755e-05,1.76755e-05
